head1;head2;head3;description;description2;path1;path2
Тортики от ;100 тенге за отзыв от 10 слов;До 15% бонусов каждому клиенту;Обалденные торты и десерты с доставкой на дом или в офис. Закажи себе сладкое настроение!;Среднее время доставки 60 минут. Более 600 ресторанов Казахстана на одной платформе.;Быстрая;Доставка;
Тортики от ;Возвращаем до 15% бонусов;Дарим 100 тенге за отзыв;Обалденные торты и десерты с доставкой на дом или в офис. Закажи себе сладкое настроение!;Среднее время доставки 60 минут. Более 600 ресторанов Казахстана на одной платформе.;Быстрая;Доставка;
