id,status
[1524],0
[996],0
[1192],0
[1180],0
[589],0
[1064],0
[778],0
[928],0
[1134],0
[129],0
[1149],0
[1319],0
[492],0
[1308],0
[1309],0
[1310],0
[732],0
[710],0
[1422],0
[1581],0
[764],0
[1177],0
[1227],0
[1042],0
[1075],0
[946],0
[1348],0
[1551],0
[1245],0
[539],0
[1288],0
[1261],0
[1252],0
[993],0
[976],0
[1093],0
[1101],0
[1174],0
[1054],0
[1571],0
[1384],0
[1492],0
[1100],0
[1427],0
[1137],0
[1499],0
[775],0
[1498],0
[1200],0
[818],0
[885],0
[328],0
[968],0
[893],0
[960],0
[1351],0
[1175],0
[1339],0
[1336],0
[1525],0
[1546],0
[883],0
[1567],0
[810],0
[1175],0
[908],0
[937],0
[1489],0
[1233],0
[1379],0
[1504],0
[1065],0
[1485],0
[1070],0
[865],0
[1035],0
[852],0
[1279],0
[1514],0
[1507],0
[1503],0
[1405],0
[16],0
[640],0
[1576],0
[1410],0
[1158],0
[1202],0
[684],0
[1368],0
[908],0
[937],0
[1489],0
[1233],0
[1379],0
[1504],0
[1070],0
[865],0
[770],0
[792],0
[1373],0
[1208],0
[1207],0
[1023],0
[1297],0
[635],0
[1385],0
[1457],0
[1367],0
[1210],0
[1325],0
[1501],0
[1131],0
[1020],0
[1008],0
[1275],0
[1185],0
[871],0
[1560],0
[992],0
[1383],0
[1391],0
[1079],0
[1209],0
[1281],0
[1217],0
[1365],0
[1057],0
[1298],0
[634],0
[658],0
[840],0
[1583],0
[1154],0
[1533],0
[1566],0
[1374],0
[1517],0
[1034],0
[1357],0
[1183],0
[1296],0
[912],0
[912],0
[1141],0
[190],0
[1344],0
[1102],0
[1466],0
[1401],0
[1162],0
[841],0
[1092],0
[889],0
[754],0
[1219],0
[1516],0
[1157],0
[920],0
[1264],0
[1095],0
[1347],0
[1181],0
[1377],0
[1509],0
[1188],0
[1048],0
[947],0
[1191],0
[1519],0
[1470],0
[1562],0
[1258],0
[617],0
[1249],0
[969],0
[978],0
[1558],0
[1182],0
[130],0
[742],0
[1548],0
[1476],0
[1199],0
[1506],0
[1138],0
[1263],0
[1277],0
[1032],0
[1335],0
[934],0
[1049],0
[1190],0
[834],0
[575],0
[1230],0
[1575],0
[588],0
[703],0
[1552],0
[930],0
[1121],0
[1215],0
[1228],0
[1171],0
[994],0
[1168],0
[1550],0
[1223],0
[1221],0
[799],0
[489],0
[1160],0
[1262],0
[1557],0
[1328],0
[1045],0
[1270],0
[1016],0
[952],0
[1549],0
[1248],0
[1231],0
[1272],0
[1354],0
[777],0
[1490],0
[1563],0
[1531],0
[1072],0
[1280],0
[1242],0
[1213],0
[1369],0
[1176],0
[665],0
[872],0
[1130],0
[1225],0
[907],0
[1511],0
[1547],0
[880],0
[700],0
[1179],0
[2251],0
[2164],0
[1731],0
[1708],1
[1938],1
[1947],1
[2106],1
[2143],1
[2055],1
[1966],1
[2125],1
[1873],1
[1916],1
[2133],1
[1934],1
[2250],1
[2065],1
[1838],1
[1909],1
[1569],1
[1586],1
[1742],1
[1600],1
[1518],1
[2219],1
[1972],1
[1820],1
[2240],1
[1579],1
[2192],1
[1859],1
[1912],1
[2248],1
[1667],1
[1921],1
[2247],1
[2070],1
[1523],1
[1603],1
[2087],1
[2218],1
[1977],1
[2144],1
[2147],1
[1769],1
[1640],1
[1828],1
[2249],1
[1671],1
[2022],1
[1741],1
[2148],1
[2061],1
[2090],1
[2231],1
[2333],1
[2222],1
[1727],1
[1716],1
[1720],1
[2139],1
[1743],1
[2245],1
[2059],1
[1672],1
[933],1
[2095],1
[2305],1
[1570],1
[2368],1
[2349],1
[1580],1
[2121],1
[2217],1
[2361],1
[1585],1
[1984],1
[1607],1
[1709],1
[2342],1
[2329],1
[2069],1
[1996],1
[2044],1
[2142],1
[2110],1
[1110],1
[1273],1
[1846],1
[1719],1
[1493],1
[1797],1
[2190],1
[2254],1
[2252],1
[1773],1
[2265],1
[2316],1
[1670],1
[1817],1
[1990],1
[1788],1
[1954],1
[1754],1
[2083],1
[1657],1
[2014],1
[1811],1
[1993],1
[1712],1
[1872],1
[1807],1
[1790],1
[2279],1
[1118],1
[2108],1
[1823],1
[1893],1
[1964],1
[2215],1
[2319],1
[2338],1
[2266],1
[2239],1
[2321],1
[2312],1
[2060],1
[2127],1
[1976],1
[2118],1
[1997],1
[2193],1
[2151],1
[2337],1
[2238],1
[2320],1
[2299],1
[2109],1
[1151],1
[2076],1
[2356],1
[2318],1
[2201],1
[2117],1
[2322],1
[1900],1
[2126],1
[2232],1
[2167],1
[2129],1
[2315],1
[1835],1
[1669],1
[1897],1
[2187],1
[1718],1
[1794],1
[1632],1
[2062],1
[2317],1
[2053],1
[2358],1
[1854],1
[1653],1
[1889],1
[870],1
[1986],1
[2339],1
[2037],1
[1520],1
[1713],1
[793],1
[2066],1
[2259],1
[2234],1
[2114],1
[2054],1
[1847],1
[2000],1
[2075],1
[2002],1
[1559],1
[2274],1
[1939],1
[2105],1
[2390],1
[1744],1
[1495],1
[1733],1
[2024],1
[2483],1
[2468],1
[1791],1
[2131],1
[1813],1
[2369],1
[1855],1
[1774],1
[2013],1
[2012],1
[2459],1
[2064],1
[2385],1
[1878],1
[2362],1
[2021],1
[2081],1
[2421],1
[2412],1
[2213],1
[2056],1
[2058],1
[2473],1
[2394],1
[2145],1
[1809],1
[1631],1
[2438],1
[2360],1
[1119],1
[2197],1
[2089],1
[2379],1
[1578],1
[2255],1
[2284],1
[2355],1
[2270],1
[2212],1
[2257],1
[2463],1
[2344],1
[2449],1
[2120],1
[2447],1
[1995],1
[2289],1
[2290],1
[2185],1
[1649],1
[2042],1
[2031],1
[2260],1
[2501],1
[2227],1
[2136],1
[2426],1
[1837],1
[2223],1
[2476],1
[2384],1
[2137],1
[2023],1
[2283],1
[2132],1
[2347],1
[2440],1
[2323],1
[2507],1
[2503],1
[2502],1
[2073],1
[2401],1
[2415],1
[2485],1
[2335],1
[1857],1
[1903],1
[1970],1
[1950],1
[1819],1
[2509],1
[1740],1
[1660],1
[2345],1
[2280],1
[1112],1
[2208],1
[2470],1
[2372],1
[1969],1
[2204],1
[1124],1
[2034],1
[2423],1
[2195],1
[1685],1
[2049],1
[2141],1
[1143],1
[2456],1
