head1;head2;head3;description;description2;path1;path2
Шашлыки от ;100 тенге за отзыв от 10 слов;До 15% бонусов каждому клиенту;Горячие и ароматные шашлыки с доставкой на дом или в офис. Оплата картой или наличными.;Среднее время доставки 60 минут. Более 600 ресторанов Казахстана на одной платформе.;Быстрая;Доставка;
Шашлыки от ;Возвращаем до 15% бонусов;Дарим 100 тенге за отзыв;Горячие и ароматные шашлыки с доставкой на дом или в офис. Оплата картой или наличными.;Среднее время доставки 60 минут. Более 600 ресторанов Казахстана на одной платформе.;Быстрая;Доставка;
